,timestamp,open,high,low,close,volume
0,2023-12-04 00:00:00.000000,39940.0,41211.0,39940.0,41157.0,2110.0
1,2023-12-03 00:00:00.000000,39438.0,40159.0,39253.0,39940.0,1410.0
2,2023-12-02 00:00:00.000000,38676.0,39678.0,38634.0,39438.0,2860.0
3,2023-12-01 00:00:00.000000,37723.0,38936.0,37626.0,38676.0,2690.0
4,2023-11-30 00:00:00.000000,37834.0,38136.0,37490.0,37723.0,730.0
5,2023-11-29 00:00:00.000000,37815.0,38366.0,37599.0,37834.0,1190.0
6,2023-11-28 00:00:00.000000,37263.0,38349.0,36895.0,37815.0,1790.0
7,2023-11-27 00:00:00.000000,37443.0,37547.0,36735.0,37263.0,1740.0
8,2023-11-26 00:00:00.000000,37782.0,37798.0,37120.0,37443.0,1840.0
9,2023-11-25 00:00:00.000000,37704.0,37891.0,37583.0,37782.0,1130.0
10,2023-11-24 00:00:00.000000,37280.0,38410.0,37248.0,37704.0,3640.0
11,2023-11-23 00:00:00.000000,37407.0,37645.0,36898.0,37280.0,1300.0
12,2023-11-22 00:00:00.000000,35794.0,37870.0,35663.0,37407.0,2090.0
13,2023-11-21 00:00:00.000000,37451.0,37638.0,35791.0,35794.0,2680.0
14,2023-11-20 00:00:00.000000,37368.0,37731.0,36824.0,37451.0,1650.0
15,2023-11-19 00:00:00.000000,36581.0,37509.0,36410.0,37368.0,520.0
16,2023-11-18 00:00:00.000000,36631.0,36849.0,36234.0,36581.0,340.0
17,2023-11-17 00:00:00.000000,36161.0,36730.0,35886.0,36631.0,880.0
18,2023-11-16 00:00:00.000000,37865.0,37927.0,35535.0,36161.0,960.0
19,2023-11-15 00:00:00.000000,35542.0,37949.0,35374.0,37865.0,1990.0
20,2023-11-14 00:00:00.000000,36511.0,36756.0,34860.0,35542.0,2050.0
21,2023-11-13 00:00:00.000000,37042.0,37410.0,36390.0,36511.0,1230.0
22,2023-11-12 00:00:00.000000,37141.0,37215.0,36760.0,37042.0,450.0
23,2023-11-11 00:00:00.000000,37301.0,37405.0,36720.0,37141.0,1220.0
24,2023-11-10 00:00:00.000000,36699.0,37500.0,36369.0,37301.0,950.0
25,2023-11-09 00:00:00.000000,35641.0,37973.0,35562.0,36699.0,3970.0
26,2023-11-08 00:00:00.000000,35455.0,36065.0,35111.0,35641.0,700.0
27,2023-11-07 00:00:00.000000,35053.0,35930.0,34578.0,35455.0,970.0
28,2023-11-06 00:00:00.000000,35064.0,35323.0,34798.0,35053.0,370.0
29,2023-11-05 00:00:00.000000,35100.0,35399.0,34532.0,35064.0,610.0
30,2023-11-04 00:00:00.000000,34751.0,35296.0,34647.0,35100.0,720.0
